isin,cusip,issuer,country,lei,eo_14071,securityType,securityType2,marketSector,is_bond
US3682872078,368287207,Public Joint Stock Company Gazprom,ru,213800FD9J2IHTA7YX78,f,ADR,Depositary Receipt,Equity,false
US36829G1076,36829G107,Public Joint Stock Company Gazprom Neft,ru,253400KXA9P2AN72P004,t,ADR,Depositary Receipt,Equity,false
US73181M1099,73181M109,Public Joint Stock Company Polyus,ru,549300FUXVT7TF6ZKV71,t,GDR,Depositary Receipt,Equity,false
US73181M1172,73181M117,Public Joint Stock Company Polyus,ru,549300FUXVT7TF6ZKV71,t,GDR,Depositary Receipt,Equity,false
US8181503025,818150302,Public Joint Stock Company Severstal,ru,213800OKDPTV6K4ONO53,t,GDR,Depositary Receipt,Equity,false
US5591892048,559189204,Publichnoe Aktsionernoe Obschestvo Magnitogorskiy Metallurgicheskiy Kombinat,ru,253400XSJ4C01YMCXG44,t,GDR,Depositary Receipt,Equity,false
US48122U1051,48122U105,SISTEMA PUBLIC JOINT STOCK FINANCIAL CORPORATION,ru,213800JSZ2UUK4QQK694,t,,,,false
US48122U2042,48122U204,SISTEMA PUBLIC JOINT STOCK FINANCIAL CORPORATION,ru,213800JSZ2UUK4QQK694,t,GDR,Depositary Receipt,Equity,false
US8688611057,868861105,SURGUTNEFTEGAS,ru,2138002GZLU65FRAC894,f,ADR,Depositary Receipt,Equity,false
US8688612048,868861204,SURGUTNEFTEGAS,ru,2138002GZLU65FRAC894,f,ADR,Depositary Receipt,Equity,false
US6074091090,607409109,"Публичное акционерное общество ""Мобильные ТелеСистемы""",ru,2534008FX8EXH1FMJA74,t,ADR,Depositary Receipt,Equity,false
US6074092080,607409208,"Публичное акционерное общество ""Мобильные ТелеСистемы""",ru,2534008FX8EXH1FMJA74,t,,,,false
US6074093070,607409307,"Публичное акционерное общество ""Мобильные ТелеСистемы""",ru,2534008FX8EXH1FMJA74,t,,,,false
US6074094060,607409406,"Публичное акционерное общество ""Мобильные ТелеСистемы""",ru,2534008FX8EXH1FMJA74,t,,,,false
US8766292051,876629205,"публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",ru,253400PAT768SVJMV121,f,ADR,Depositary Receipt,Equity,false
US716558AC52,716558AC5,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,PRIV PLACEMENT,Corp,Corp,true
US716558AD36,716558AD3,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,PRIV PLACEMENT,Corp,Corp,true
US716558AE19,716558AE1,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,PRIV PLACEMENT,Corp,Corp,true
US716558AF83,716558AF8,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,PRIV PLACEMENT,Corp,Corp,true
US716558AG66,716558AG6,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,EURO-DOLLAR,Corp,Corp,true
US716558AH40,716558AH4,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,PRIV PLACEMENT,Corp,Corp,true
USP7807HAM71,P7807HAM7,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,EURO-DOLLAR,Corp,Corp,true
USP7807HAP03,P7807HAP0,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,EURO-DOLLAR,Corp,Corp,true
USP7807HAQ85,P7807HAQ8,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,EURO-DOLLAR,Corp,Corp,true
USP7807HAR68,P7807HAR6,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,EURO-DOLLAR,Corp,Corp,true
USP7807HAT25,P7807HAT2,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,EURO-DOLLAR,Corp,Corp,true
USP7807HAV70,P7807HAV7,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,EURO-DOLLAR,Corp,Corp,true
USP7807HAY10,P7807HAY1,"Petroleos De Venezuela, S.A.",ve,549300YWR8TN1OFD4P06,f,,,,false
