isin,cusip,layer,issuer_or_parent,country,securityType2,is_bond
US6074092080,607409208,direct,"Публичное акционерное общество ""Мобильные ТелеСистемы""",ru,,false
US6074093070,607409307,direct,"Публичное акционерное общество ""Мобильные ТелеСистемы""",ru,,false
US6074091090,607409109,direct,"Публичное акционерное общество ""Мобильные ТелеСистемы""",ru,Depositary Receipt,false
US8766292051,876629205,direct,"публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",ru,Depositary Receipt,false
US12625GAF19,12625GAF1,indirect,CNOOC Limited,,Corp,true
US12625GAG91,12625GAG9,indirect,CNOOC Limited,,Corp,true
US65334HAE27,65334HAE2,indirect,CNOOC Limited,,Corp,true
US12615TAB44,12615TAB4,indirect,CNOOC Limited,,Corp,true
US12591DAD30,12591DAD3,indirect,CNOOC Limited,,Corp,true
US12625GAD60,12625GAD6,indirect,CNOOC Limited,,Corp,true
USG21886AB53,G21886AB5,indirect,CNOOC Limited,,Corp,true
US65334HAG74,65334HAG7,indirect,CNOOC Limited,,Corp,true
US65334HAA05,65334HAA0,indirect,CNOOC Limited,,Corp,true
US136420AF31,136420AF3,indirect,CNOOC Limited,,Corp,true
US12591DAB73,12591DAB7,indirect,CNOOC Limited,,,
US65334HAJ14,65334HAJ1,indirect,CNOOC Limited,,Corp,true
